"country","count"
"Alaska","15"
"Washington","57"
"Utah","30"
"China","14"
"Vermont","5"
"Hawaii","16"
"Oregon","76"
"Italy","7"
"Iceland","38"
"New Zealand","20"
"Germany","5"
"Montana","7"
"Colorado","33"
"Arizona","22"
"France","7"
"Iowa","1"
"Australia","15"
"Portugal","3"
"Texas","4"
"Turkey","1"
"Switzerland","16"
"Norway","20"
"Ohio","1"
"Peru","5"
"California","57"
"Slovakia","1"
"Idaho","3"
"Poland","1"
"Nevada","10"
"India","7"
"Canada","25"
"Japan","6"
"Guatemala","1"
"Michigan","2"
"New York","8"
"Arkansas","2"
"Austria","3"
"Mexico","6"
"Connecticut","3"
"Alabama","2"
"Chile","6"
"Maine","5"
"Greenland","5"
"Ireland","16"
"Virginia","3"
"Thailand","2"
"Spain","3"
"Indonesia","2"
"Pakistan","7"
"Maldives","2"
"South Africa","2"
"Nepal","7"
"Croatia","6"
"Argentina","3"
"Finland","3"
"United States","2"
"Belgium","1"
"Sweden","4"
"North Carolina","4"
"Netherlands","1"
"Wyoming","8"
"Congo","1"
"Greece","2"
"Florida","3"
"Georgia","3"
"Taiwan","1"
"Brazil","1"
"New Hampshire","4"
"Namibia","4"
"Nebraska","1"
"Wisconsin","7"
"Louisiana","1"
"Uganda","1"
"Chad","1"
"Vietnam","1"
"Yemen","1"
"Russia","1"
"Madagascar","1"
"Israel","2"
"Minnesota","3"
"Kazakhstan","1"
"Algeria","1"
"Romania","1"
"Colombia","1"
"South Dakota","1"
"Jordan","1"
"Tanzania","1"
"Iran","2"
"Malta","1"
"United Kingdom","23"
"New Mexico","1"
"Massachusetts","2"
"Illinois","1"
